algorithm,array_type,n,time_ms,char_cmp
std_quick,random,100,0.0084,834
std_merge,random,100,0.0121,674
str_quick,random,100,0.0114,605
str_merge,random,100,0.1395,519
msd_radix,random,100,0.0632,342
msd_radixQ,random,100,0.0269,279
std_quick,reversed,100,0.0049,954
std_merge,reversed,100,0.0063,501
str_quick,reversed,100,0.0080,637
str_merge,reversed,100,0.1115,381
msd_radix,reversed,100,0.1791,474
msd_radixQ,reversed,100,0.0317,667
std_quick,almost,100,0.0090,1608
std_merge,almost,100,0.0066,800
str_quick,almost,100,0.0083,728
str_merge,almost,100,0.0833,342
msd_radix,almost,100,0.0540,456
msd_radixQ,almost,100,0.0308,667
std_quick,random,200,0.0168,2015
std_merge,random,200,0.0167,1616
str_quick,random,200,0.0185,1379
str_merge,random,200,0.3558,1175
msd_radix,random,200,0.1757,796
msd_radixQ,random,200,0.1284,656
std_quick,reversed,200,0.0105,2087
std_merge,reversed,200,0.0119,1101
str_quick,reversed,200,0.0176,1532
str_merge,reversed,200,0.2589,778
msd_radix,reversed,200,0.1328,950
msd_radixQ,reversed,200,0.0747,1309
std_quick,almost,200,0.0178,3671
std_merge,almost,200,0.0121,1831
str_quick,almost,200,0.0177,1637
str_merge,almost,200,0.2432,697
msd_radix,almost,200,0.1376,936
msd_radixQ,almost,200,0.0635,1400
std_quick,random,300,0.0310,3460
std_merge,random,300,0.0482,2734
str_quick,random,300,0.0404,2190
str_merge,random,300,0.4848,1912
msd_radix,random,300,0.1750,1236
msd_radixQ,random,300,0.0864,1099
std_quick,reversed,300,0.0164,3676
std_merge,reversed,300,0.0195,1776
str_quick,reversed,300,0.0277,2580
str_merge,reversed,300,0.3729,1199
msd_radix,reversed,300,0.1794,1430
msd_radixQ,reversed,300,0.0867,2007
std_quick,almost,300,0.0302,5734
std_merge,almost,300,0.0207,2980
str_quick,almost,300,0.0274,2441
str_merge,almost,300,0.3755,1165
msd_radix,almost,300,0.1934,1432
msd_radixQ,almost,300,0.1068,2142
std_quick,random,400,0.0443,4915
std_merge,random,400,0.0617,3930
str_quick,random,400,0.0628,3019
str_merge,random,400,0.7260,2729
msd_radix,random,400,0.2493,1670
msd_radixQ,random,400,0.1125,1591
std_quick,reversed,400,0.0201,4620
std_merge,reversed,400,0.0248,2453
str_quick,reversed,400,0.0369,3560
str_merge,reversed,400,0.5195,1559
msd_radix,reversed,400,0.4356,1904
msd_radixQ,reversed,400,0.1471,2663
std_quick,almost,400,0.0345,6986
std_merge,almost,400,0.0396,4105
str_quick,almost,400,0.0587,3494
str_merge,almost,400,0.4613,1510
msd_radix,almost,400,0.2041,1896
msd_radixQ,almost,400,0.1169,2831
std_quick,random,500,0.0621,6524
std_merge,random,500,0.0691,5447
str_quick,random,500,0.0594,3966
str_merge,random,500,0.8136,3522
msd_radix,random,500,0.3523,2096
msd_radixQ,random,500,0.2304,2104
std_quick,reversed,500,0.0306,5607
std_merge,reversed,500,0.0437,3141
str_quick,reversed,500,0.0640,4470
str_merge,reversed,500,0.7985,1891
msd_radix,reversed,500,0.3182,2396
msd_radixQ,reversed,500,0.1421,3335
std_quick,almost,500,0.0608,10522
std_merge,almost,500,0.0354,5572
str_quick,almost,500,0.0604,4977
str_merge,almost,500,0.7008,1986
msd_radix,almost,500,0.2811,2346
msd_radixQ,almost,500,0.1639,3481
std_quick,random,600,0.0864,8949
std_merge,random,600,0.0861,6590
str_quick,random,600,0.0874,5155
str_merge,random,600,0.8749,4361
msd_radix,random,600,0.4378,2538
msd_radixQ,random,600,0.2477,2633
std_quick,reversed,600,0.0399,7887
std_merge,reversed,600,0.0712,3824
str_quick,reversed,600,0.0914,5768
str_merge,reversed,600,0.7891,2388
msd_radix,reversed,600,0.3639,2874
msd_radixQ,reversed,600,0.1711,4020
std_quick,almost,600,0.1464,12825
std_merge,almost,600,0.0864,6637
str_quick,almost,600,0.1055,5563
str_merge,almost,600,0.9331,2313
msd_radix,almost,600,0.3198,2804
msd_radixQ,almost,600,0.1766,4175
std_quick,random,700,0.1062,10284
std_merge,random,700,0.1047,7946
str_quick,random,700,0.1094,6022
str_merge,random,700,1.3661,5235
msd_radix,random,700,0.5766,2996
msd_radixQ,random,700,0.2402,3219
std_quick,reversed,700,0.0380,9026
std_merge,reversed,700,0.0429,4595
str_quick,reversed,700,0.0703,6756
str_merge,reversed,700,1.0011,2760
msd_radix,reversed,700,0.6945,3368
